challenge_name,overall_federal_agency,organization,category,date_announced,submission_close_date,judging_open_date,judging_close_date,public_voting_open_date,public_voting_close_date,winner_announcement_date,time_from_announcement_to_submission_close,time_from_submission_close_to_judging,time_for_judging,time_for_public_voting,time_from_judging_to_winner_announcement,total_prize_purse,grand_prize_winner,finalist_prize,number_of_finalists,other_prizes,about,judges,judging_criteria,type_of_competition,output,prize_type,
LAUNCH: Health,Agency for International Development,U.S. Agency for International Development,Science & Technology,8/17/2010,9/13/2010,9/14/2010,10/29/2010,,,10/30/2010,27,1,45,0,1,N/A,N/A,N/A,N/A,,"Sustaining quality of life on Earth and in space requires transformative advances in science and technology, along with new models, policies and behaviors that will guide human development. The search for innovative technology solutions to ensure healthy astronauts orbiting the planet mirrors healthcare challenges faced by providers in developing worlds. The same requirements for simple, rugged, ultra portable, low power devices to provide remote diagnostic capability serves dual needs for humans living within the extreme environments on and off the planet. Targeting preventative health measures within the first twenty years of life offers a unique opportunity to change the human condition for this and future generations. The first twenty years of human development are critical to ensuring a more healthy, equitable and productive human population on the planet. In both developed and developing countries adverse conditions during the first twenty years continue to threaten the next generation with unacceptable rates of acute and chronic disease due to infections, poor nutrition and inadequate daily physical activity. LAUNCH seeks innovations that are preventive with a focus on nutrition, exercise, and health care. Specifically, LAUNCH is seeking innovations in providing and improving:

Optimal nutrition (access, choice, and quality of nutritious food and required nutrients)
Regular participation in physical activity and healthy lifestyle choices
Participation in primary preventive health care including supporting infrastructure, such as diagnostic and monitoring technology",N/A,N/A,2,1,Point Solution,
Do More Than Donate. FWD the Facts About the Famine.,Agency for International Development,U.S. Agency for International Development,International Affairs,11/28/2011,12/2/2011,12/3/2011,12/14/2011,,,12/15/2011,4,1,11,0,1,"$5,000","$5,000",$0,1,,"The United States Agency for International Development (USAID) and the Ad Council has developed a multimedia campaign called “FWD” to generate awareness and donations for the immediate relief efforts for the famine. FWD stands for Famine, War and Drought—the three crises currently devastating the Horn of Africa as well as the call to action to FWD the facts and increase awareness.

Right now this is the largest humanitarian crisis in the world, and unfortunately, many people are not aware of the situation or its severity. In Somalia, a child dies every 6 minutes. Families are forced to walk over 100 miles in search of their next meal. The public needs to understand the urgency to respond.

Tell us how you can help raise awareness for this crisis in your own community.Submit your proposal for a local event or other grassroots ideas to get your community involved in the fight against famine, war and drought in the Horn of Africa.

We’ll review the proposals and on November 28th, the public can vote on which proposal would have the most impact. GOOD will provide the winning proposal $5,000 to implement their plan locally, and the winner will be featured in digital and social media channels by USAID and the Ad Council.",Public voting,N/A,2,1,Network,
"AmeriCorps Photo and Video contest AmeriCorps Works in many different ways. Whatever you choose to feature in your photo, be sure to shows how AmeriCorps Works!",Corporation for National and Community Service,Corporation for National and Community Service,Science & Technology,3/10/2012,7/1/2012,7/2/2012,7/13/2012,,,9/14/2012,113,1,11,N/A,63,"$2,500","$2,000",$500,2,NA,"The theme of the 2012 AmeriCorps photo contest is “AmeriCorps Works.”   This theme communicates the value and effectiveness of AmeriCorps while providing flexibility to be used in many different contexts.  It provides an overarching framework to communicate AmeriCorps triple bottom line return on investment -- for the recipients of service, the people who serve, and the larger community and nation.",Panel of CNCS Internal Reviewers,Panel will determine which submissions will move forward for public voting based on how they addressed the requirements outlined in the Rules.,4,4,Exposition,
Service Impact Award,Corporation for National and Community Service,Corporation for National and Community Service,Science & Technology,4/1/2011,4/25/2011,4/26/2011,4/29/2011,,,6/8/2011,24,1,3,N/A,4,N/A,N/A,N/A,9,,"The Corporation for National and Community Service (CNCS) seeks to learn about important innovations using service to impact key issues.  These best practices in solution driven service will help to further the agency’s mission while recognizing outstanding impact in communities accomplished through service and volunteering.  Specifically, CNCS seeks nominations for the “Service Impact” awards from grantees, strategic partners and service participants that exemplify the best in national and community service in the key issue areas of the Serve America Act and disaster services. ","Panel of CNCS Professionals and programmatic experts.

Samantha Warfield

Robert Bisi

Kate Enos

Brad Lewis

Jennifer Bastress Tahmasebi","Nominations will be evaluated on the impact of their service in the following issue areas.
Education, Disaster Services, Healthy Futures, Economic Opportunity, Environmental Stewardship, or Veterans and Military Families.",5- this is not really a competition but a recognition award,5- this is not really a competition but a recognition award,Exemplar,
AmeriCorps Video Contest,Corporation for National and Community Service,Corporation for National and Community Service,Economy,3/10/2012,7/1/2012,7/2/2012,9/1/2012,,,9/15/2012,113,1,61,0,14,"$5,000","$4,000","$1,000",2,,"The theme of the 2012 AmeriCorps video contest is “AmeriCorps Works.”   This theme communicates the value and effectiveness of AmeriCorps while providing flexibility to be used in many different contexts.  It provides an overarching framework to communicate AmeriCorps triple bottom line return on investment -- for the recipients of service, the people who serve, and the larger community and nation.  For example:

AmeriCorps Works…

To meet pressing community needs
To expand economic and educational opportunity for those who serve
To make our communities safer, stronger, and healthier
To improve the lives of vulnerable Americans
To build the next generation of nonprofit leaders 
To develop innovative community solutions
To mobilize volunteers and resources to strengthen America’s voluntary sector
AmeriCorps Works in many different ways.  However you choose to make your video, be sure to shows how AmeriCorps Works!",Panel of CNCS Reviewers,"Overall Impact (educational, inspiring, persuasive)
Creativity
Memorable Content and Delivery
Clear Message about how AmeriCorps Works
Alignment with Mission and Goals of AmeriCorps",4,4,Exposition,
AmeriCorps Photo Contest,Corporation for National and Community Service,Corporation for National and Community Service,Economy,3/10/2012,7/1/2012,7/2/2012,9/1/2012,,,9/14/2012,113,1,61,0,13,"$2,500","$2,000",$500,2,,"The theme of the 2012 AmeriCorps photo contest is “AmeriCorps Works.”   This theme communicates the value and effectiveness of AmeriCorps while providing flexibility to be used in many different contexts.  It provides an overarching framework to communicate AmeriCorps triple bottom line return on investment -- for the recipients of service, the people who serve, and the larger community and nation.  For example:

AmeriCorps Works…

To meet pressing community needs
To expand economic and educational opportunity for those who serve
To make our communities safer, stronger, and healthier
To improve the lives of vulnerable Americans
To build the next generation of nonprofit leaders 
To develop innovative community solutions
To mobilize volunteers and resources to strengthen America’s voluntary sector
AmeriCorps Works in many different ways.  Whatever you choose to feature in your photo, be sure to shows how AmeriCorps Works!",Panel of CNCS Internal Reviewers,"Overall Impact (educational, inspirational, persuasive)
Creativity
Composition or Technical Quality
Memorable Content and Delivery
Expression of AmeriCorps Works",4,4,Exposition,
September 11 National Day of Service and Remembrance 10th Anniversary Challenge,Corporation for National and Community Service,Corporation for National and Community Service,Economy,9/11/2011,9/14/2011,9/15/2011,9/20/2011,,,9/23/2011,3,1,5,0,3,"$500,000","$10,000","$450,000",14,,"The Corporation for National and Community Service (CNCS) is recognizing the 10th Anniversary of 9/11 by issuing a challenge to organizations to bring Americans together in the same spirit of compassion, unity, and service as so many have after the attacks. The Corporation challenges organizations to effectively engage individuals in service to their communities during the National Day of Service and Remembrance. Service activities should honor those who died and those who have served because of the tragedies of 9/11, and include a time of reflection and remembrance. Projects should be implemented on or near September 11, 2011 and clearly be linked to the observance of the September 11 National Day of Service and Remembrance.

Eligible organizations are encouraged to submit a Concept Paper (described below) that details their plans for the September 11 National Day of Service and Remembrance including how they will challenge their community to join them in service on 9/11/2011. Based upon the number of volunteers engaged by applicants during their 2011 events, selected organizations will receive awards to be used to promote and implement greater levels of engagement in future September 11 National Days of Service and Remembrance (2012 – 2014). The Corporation will award a total of approximately $500,000 through approximately 10-15 awards ranging from $10,000 to $100,000 to organizations that achieve the highest level of volunteer engagement within an established competitive pool (to be determined by the Corporation based upon approved submissions). Awards under this challenge are NOT for the purpose of financing or reimbursing programs for September 11 National Day of Service and Remembrance activities in 2011.",Panel of CNCS Officials,"Selection Criteria:
Final prize determinations will be based on the number of volunteers engaged with the competitive pools, as verified by the Corporation.",5-Service/remambrance activities,5-Remembrance activities,Network,
Service Impact Award,Corporation for National and Community Service,Corporation for National and Community Service,Economy,4/1/2011,4/25/2011,4/26/2011,4/29/2011,,,6/8/2011,24,1,3,0,40,$0,$0,$0,9,"Recipients will be announced and recognized at the National Conference on Volunteering and Service (the Conference) June 6 - 8, 2011, in New Orleans, LA. Recipients will be guests of CNCS as conference attendees at the Conference. This prize includes conference registration, round trip air fare, lodging, ground transportation, and per diem. In the event that a team of people wins an award, they will be asked to select a representative to attend the Conference on behalf of the team.","The Corporation for National and Community Service (CNCS) seeks to learn about important innovations using service to impact key issues.  These best practices in solution driven service will help to further the agency’s mission while recognizing outstanding impact in communities accomplished through service and volunteering.  Specifically, CNCS seeks nominations for the “Service Impact” awards from grantees, strategic partners and service participants that exemplify the best in national and community service in the key issue areas of the Serve America Act and disaster services. ","Panel of CNCS Professionals and programmatic experts.

Samantha Warfield

Robert Bisi

Kate Enos

Brad Lewis

Jennifer Bastress Tahmasebi","Nominations will be evaluated on the impact of their service in the following issue areas.
Education, Disaster Services, Healthy Futures, Economic Opportunity, Environmental Stewardship, or Veterans and Military Families.",5-Recognition of service,5-Highlighting and celebrating exceptional service,Exemplar,
MyPlate Fruits and Veggies Video Challenge,Department of Agriculture,Center for Nutrition Policy and Promotion,Health,9/26/2011,11/15/2011,11/21/2011,12/12/2011,9/26/2012,12/12/2012,12/28/2011,50,6,21,77,16,"$9,000","$1,500","$7,500",14,,"The U.S. Department of Agriculture (USDA) MyPlate Fruits and Veggies Video Challenge invites you to create short videos (approximately 30 seconds) showing how you’re adding fruits and vegetables to your diet without spending a lot of money. We encourage you to create videos that are inspiring and instructive — show a healthy tip that has worked for you and that you think can work for other people. Videos must be submitted in one of the following categories:

Tips for kids
Tips when eating at home
Tips when eating away from home
The goal of the challenge is to encourage healthy eating habits and raise awareness around USDA’s MyPlate dietary guidelines, which includes making half your plate fruits and vegetables.","The USDA
Judging will be performed by the USDA","Quality of the Idea
Includes elements such as creativity and originality

Implementation of the Idea
Includes elements such as the quality and creativity of the video

Potential Impact on Healthy Eating Habits
Includes how instructive, easy-to-follow, and cost-effective the idea is",4,4,Exposition,
Apps for Healthy Kids,Department of Agriculture,U.S. Department of Agriculture,Science & Technology,3/10/2010,6/30/2010,7/14/2010,8/14/2010,,,9/29/2010,112,14,31,0,46,"$60,000","$10,000","$50,000",12,,"The Apps for Healthy Kids competition is a part of First Lady Michelle Obama’s Let’s Move! campaign to end childhood obesity within a generation. Apps for Healthy Kids challenges software developers, game designers, students, and other innovators to develop fun and engaging software tools and games that drive children, especially “tweens” (ages 9-12) – directly or through their parents – to eat better and be more physically active. 

Childhood obesity or excess weight threatens the healthy future of one third of American children. We spend approximately $150 billion every year to treat obesity-related conditions, and that number is growing. Obesity rates tripled in the past 30 years, a trend that means, for the first time in our history, American children may face a shorter expected lifespan than their parents. We need to get moving! 

Tools and games should be built using the USDA nutrition dataset recently made available to the public through the Open Government Initiative. The dataset provides information on total calories, calories from “extras” (solid fats and added sugars), and MyPyramid food groups for over 1,000 commonly eaten foods. We are seeking innovative and creative tools and games that use the USDA dataset to deliver nutrition and health concepts in a fun and engaging way.","Michael J. Barber
Vice President, healthymagination General Electric Company


Aneesh Chopra
Chief Technology Officer & Associate Director for Technology Office of Science & Technology Policy Executive Office of the President


Pat Christen
President and CEO HopeLab


Tiffany Cooper Gueye
Chief Executive Officer Building Educated Leaders for Life (BELL)


Mark DeLoura
Developer Advocate, Games Google Inc.


Michael (Mike) D. Gallagher
President and CEO Entertainment Software Association


Robin Hunicke
Game Designer & Producer thatgamecompany


Eric Johnston (""EJ"")
Principal Engineer LucasArts


Michael Levine
Executive Director The Joan Ganz Cooney Center at Sesame Workshop


Mark Pincus
Founder and CEO Zynga


Dora Rivas
President School Nutrition Association


Shale L. Wong
Pediatrician Advisor to Let's Move!


Steve Wozniak aka ""The Woz""
Co-founder, Apple Computer Inc. Co-Author, iWoz: From Computer Geek to Cult Icon Chief Scientist, Fusion-io","Potential impact on target audience
Quality, accuracy, and content of message
Creativity and originality
Potential for further development and use
Potential to engage and motivate target audience",2,2,Exposition,
